,wav,maggies
0,69946461.75455597,3.3053124982782215e-12
1,69560989.40267283,3.3216620295726433e-12
2,69177641.37459885,3.3381220278964196e-12
3,68796405.9632643,3.3549951443397967e-12
4,68417271.52611686,3.3726627987179014e-12
5,68040226.48476599,3.3902331466086992e-12
6,67665259.32462887,3.4077174737531675e-12
7,67292358.59457953,3.4263099648566377e-12
8,66921512.90659837,3.4454226113459558e-12
9,66552710.93542498,3.464605141610986e-12
10,66185941.41821205,3.48432865781573e-12
11,65821193.15418113,3.504648860215264e-12
12,65458455.00428125,3.525527652451916e-12
13,65097715.89084791,3.5466862912697234e-12
14,64738964.79726552,3.5676627443022008e-12
15,64382190.76763062,3.5891206199137625e-12
16,64027382.90641709,3.611155362543549e-12
17,63674530.378143966,3.633992817515853e-12
18,63323622.40704392,3.657414890095601e-12
19,62974648.27673472,3.681363932649718e-12
20,62627597.32989162,3.705792886783628e-12
21,62282458.967921935,3.7306804424348556e-12
22,61939222.65064156,3.7558036486299146e-12
23,61597877.89595279,3.78138652606622e-12
24,61258414.27952453,3.8075791589992704e-12
25,60920821.43447375,3.834416645934845e-12
26,60585089.05104881,3.861881618071232e-12
27,60251206.87631491,3.8897000146531486e-12
28,59919164.71384056,3.917965151056114e-12
29,59588952.42338668,3.946623424018964e-12
30,59260559.92059658,3.975989095912444e-12
31,58933977.17668792,4.0061284112421175e-12
32,58609194.2181469,4.0371872014946415e-12
33,58286201.1264231,4.0689165635465245e-12
34,57964988.03762704,4.101127682931867e-12
35,57645545.1422288,4.1340396235422834e-12
36,57327862.68475821,4.167653281895038e-12
37,57011930.96350736,4.201587271889841e-12
38,56697740.33023388,4.236194284387224e-12
39,56385281.1898667,4.271799669909027e-12
40,56074544.00021278,4.308055468127306e-12
41,55765519.271665625,4.3449488411472684e-12
42,55458197.566915765,4.3825837967940974e-12
43,55152569.500662275,4.420975264472392e-12
44,54848625.739326425,4.460143013597597e-12
45,54546357.00076626,4.500029135961827e-12
46,54245754.05399357,4.540655090407081e-12
47,53946807.71889176,4.58216192420074e-12
48,53649508.86593535,4.624414621172568e-12
49,53353848.415911555,4.66720259712892e-12
50,53059817.33964259,4.710682692902464e-12
51,52767406.6577103,4.7549627265979135e-12
52,52476607.44018171,4.801262592258167e-12
53,52187410.806336276,4.848690818770337e-12
54,51899807.92439501,4.8965651584390275e-12
55,51613790.01125022,4.945537672893144e-12
56,51329348.33219784,4.99563044098734e-12
57,51046474.200670384,5.04620512831589e-12
58,50765158.97797161,5.097756035725581e-12
59,50485394.07301297,5.150786979069986e-12
60,50207170.9420509,5.2047133228934245e-12
61,49930481.08842623,5.259517225214819e-12
62,49655316.06230459,5.315508633743364e-12
63,49381667.46041816,5.372621563243978e-12
64,49109526.92580941,5.430776626361525e-12
65,48838886.147575505,5.4905121989992216e-12
66,48569736.86061487,5.551840682231933e-12
67,48302070.84537453,5.613728208495224e-12
68,48035879.92759905,5.6766797794458965e-12
69,47771155.97808122,5.740999843275582e-12
70,47507890.91241337,5.80657071895055e-12
71,47246076.69074088,5.873420844077472e-12
72,46985705.31751636,5.941797755189921e-12
73,46726768.84125562,6.0115907413305844e-12
74,46469259.354294874,6.08279385981725e-12
75,46213168.99254901,6.154807045238303e-12
76,45958489.93527174,6.2277390515899705e-12
77,45705214.40481662,6.303399254877168e-12
78,45453334.6663994,6.380990627247346e-12
79,45202843.0278621,6.460195836654982e-12
80,44953731.83943777,6.540841513430725e-12
81,44705993.49351722,6.622946383290435e-12
82,44459620.424416326,6.706635173423069e-12
83,44214605.108145304,6.791841442124338e-12
84,43970940.0621788,6.878291608543397e-12
85,43728617.84522726,6.966720298971762e-12
86,43487631.05700994,7.057249488013285e-12
87,43247972.33802864,7.150792630578745e-12
88,43009634.36934316,7.245850476414804e-12
89,42772609.87234777,7.340417025703443e-12
90,42536891.60854867,7.43858500048843e-12
91,42302472.379343346,7.540500559157752e-12
92,42069345.02580034,7.641824720066961e-12
93,41837502.428440906,7.745005527109636e-12
94,41606937.507021494,7.852440117121983e-12
95,41377643.22031739,7.961223898533673e-12
96,41149612.565907985,8.071290201569888e-12
97,40922838.57996255,8.184918268392973e-12
98,40697314.33702793,8.300545243727743e-12
99,40473032.94981685,8.416155841718246e-12
100,40249987.56899751,8.536067845741515e-12
101,40028171.38298471,8.660441700454366e-12
102,39807577.61773145,8.784151342612258e-12
103,39588199.53652239,8.910363808169898e-12
104,39370030.439767964,9.042507184486911e-12
105,39153063.66479969,9.17536276402846e-12
106,38937292.58566694,9.308779481547744e-12
107,38722710.61293433,9.445519046098021e-12
108,38509311.19348073,9.585742391294177e-12
109,38297087.8102989,9.730629956560623e-12
110,38086033.98229666,9.877519885602623e-12
111,37876143.26409892,1.002646149467555e-11
112,37667409.24585068,1.0180693619919526e-11
113,37459825.55302155,1.0338095973173437e-11
114,37253385.8462109,1.049665884661981e-11
115,37048083.820954226,1.0657696850409162e-11
116,36843913.20753082,1.0821509740394661e-11
117,36640867.77077205,1.0989968260439183e-11
118,36438941.30987116,1.1161913667577139e-11
119,36238127.658193745,1.133627540236735e-11
120,36038420.68308952,1.1515207143465277e-11
121,35839814.28570506,1.1698860145301178e-11
122,35642302.40079738,1.1884776603309839e-11
123,35445878.996548906,1.2074566721944686e-11
124,35250538.07438321,1.2270245751614792e-11
125,35056273.66878168,1.2468648929363363e-11
126,34863079.847101614,1.2669626777677826e-11
127,34670950.70939471,1.2874140292618208e-11
128,34479880.38822722,1.3082988460430466e-11
129,34289863.04850048,1.3297506832098166e-11
130,34100892.88727291,1.3518228225768326e-11
131,33912964.133582756,1.3744789886545478e-11
132,33726071.0482717,1.396993992433761e-11
133,33540207.923809856,1.4198678606183525e-11
134,33355369.08412118,1.4435090696350536e-11
135,33171548.884410374,1.4678058274797686e-11
136,32988741.710990418,1.492750478498557e-11
137,32806941.98111097,1.518079443238804e-11
138,32626144.142788205,1.543773495186715e-11
139,32446342.674634885,1.5696327162804642e-11
140,32267532.085692078,1.5963495076986198e-11
141,32089706.91526129,1.6239593492945353e-11
142,31912861.732737668,1.651776269379859e-11
143,31736991.137444314,1.6800006816967026e-11
144,31562089.75846715,1.7086541040593726e-11
145,31388152.254491143,1.738048080154783e-11
146,31215173.313636895,1.7682651245588046e-11
147,31043147.65329871,1.7995905038352356e-11
148,30872070.0199831,1.8313540388448757e-11
149,30701935.189148307,1.8626420420291373e-11
150,30532737.96504492,1.8949208356964202e-11
151,30364473.18055711,1.928288444585809e-11
152,30197135.697044734,1.9619727838486556e-11
153,30030720.404186636,1.9963810393881045e-11
154,29865222.219824325,2.0320695476877948e-11
155,29700636.08980702,2.0683058291136024e-11
156,29536956.987837035,2.1050752890547005e-11
157,29374179.91531655,2.143140431821393e-11
158,29212299.90119481,2.181823821321015e-11
159,29051312.001816243,2.2202306214680874e-11
160,28891211.300769683,2.2600805226039595e-11
161,28731992.90873811,2.301498155013927e-11
162,28573651.96334926,2.3429175617147305e-11
163,28416183.62902736,2.3850839405411732e-11
164,28259583.096845172,2.4286416337744568e-11
165,28103845.58437742,2.472721503099771e-11
166,27948966.33555444,2.517355914716244e-11
167,27794940.620517228,2.5638088270750806e-11
168,27641763.73547281,2.6110983649757783e-11
169,27489431.002550595,2.6581252422052825e-11
170,27337937.76965965,2.706937907112022e-11
171,27187279.410346434,2.7576512034356655e-11
172,27037451.32365372,2.8081449925191154e-11
173,26888448.93397997,2.859537120859283e-11
174,26740267.690939523,2.91280800716496e-11
175,26592903.069223862,2.9668273655721734e-11
176,26446350.56846314,3.021618466726488e-11
177,26300605.713088993,3.0785639151567884e-11
178,26155664.05219771,3.1364290350018404e-11
179,26011521.1594143,3.1937379480681085e-11
180,25868172.63275744,3.252739322450179e-11
181,25725614.094504885,3.3136906926612296e-11
182,25583841.191059925,3.3766118995880446e-11
183,25442849.59281829,3.440553318577987e-11
184,25302634.99403604,3.5041748659512954e-11
